"source_id"	"author"	"title"	"pub_place"	"publisher"	"pub_date"	"gender"	"gender_guess"	"ethnicity"	"occupation"	"occupation_free"	"state_born"	"state_main"	"state_died"	"born"	"died"	"words"
"eaf028v3"	"Brown, Charles Brockden"	"Edgar Huntly, or, Memoirs of a sleep-walker, Vol.3"	"Philadelphia"	"Printed by H. Maxwell, No. 3 Letitia court, and sold by Thomas Dobson, Asbury Dickins, and the principal booksellers"	1799	"M"	0	"White"	"Education"	"Historian"	"PA"	"PA"	"PA"	1771	1810	33265
"eaf029"	"Brown, Charles Brockden"	"Ormond, or, The secret witness"	"New York"	"Printed by G. Forman, for H. Caritat"	1799	"M"	0	"White"	"Education"	"Historian"	"PA"	"PA"	"PA"	1771	1810	95467
"eaf030v1"	"Brown, Charles Brockden"	"Arthur Mervyn, or, Memoirs of the year 1793, Vol.1"	"Philadelphia"	"Printed and published by H. Maxwell, No. 3, Letitia Court, and sold by Messrs. T. Dobson, R. Campbell, H. and P. Rice, A. Dickins, and the principal booksellers in the neighbouring states"	1799	"M"	0	"White"	"Education"	"Historian"	"PA"	"PA"	"PA"	1771	1810	71865
"eaf030v2"	"Brown, Charles Brockden"	"Arthur Mervyn, or, Memoirs of the year 1793, Vol.2"	"Philadelphia"	"Printed and published by H. Maxwell, No. 3, Letitia Court, and sold by Messrs. T. Dobson, R. Campbell, H. and P. Rice, A. Dickins, and the principal booksellers in the neighbouring states"	1799	"M"	0	"White"	"Education"	"Historian"	"PA"	"PA"	"PA"	1771	1810	79521
"eaf031"	"Brown, Charles Brockden"	"Clara Howard"	"Philadelphia"	"Published by Asbury Dickins; H. Maxwell, Printer"	1801	"M"	0	"White"	"Education"	"Historian"	"PA"	"PA"	"PA"	1771	1810	46595
"eaf032"	"Brown, Charles Brockden"	"Jane Talbot"	"Philadelphia"	"Published by John Conrad, & Co., No. 30 Chestnut Street, Philadelphia"	1801	"M"	0	"White"	"Education"	"Historian"	"PA"	"PA"	"PA"	1771	1810	84601
"eaf034v1"	"Brown, William Hill"	"The power of sympathy, or, The triumph of nature, Vol.1"	"Boston"	"Printed in Boston, by Isaish Thomas and Company, Sold at their bookstore, No. 45, Newbury Street. And at said Thomas's bookstore in Worcester"	1789	"M"	0	"White"	"Writer"	"Writer"	"MA"	"MA"	"NC"	1765	1793	15660
"eaf034v2"	"Brown, William Hill"	"The power of sympathy, or, The triumph of nature, Vol.2"	"Boston"	"Printed in Boston, by Isaish Thomas and Company, Sold at their bookstore, No. 45, Newbury Street. And at said Thomas's bookstore in Worcester"	1789	"M"	0	"White"	"Writer"	"Writer"	"MA"	"MA"	"NC"	1765	1793	20310
"eaf035"	"Brown, William Hill"	"Ira and Isabella, or, The natural children"	"Boston"	"Published by Belcher and Armstrong"	1807	"M"	0	"White"	"Writer"	"Writer"	"MA"	"MA"	"NC"	1765	1793	11953
"eaf036"	"[None]"	"Tales of Glauber-Spa, Vol. 1"	"New York"	"J. & J. Harper"	1832											81915
"eaf037"	"Calvert, George Henry"	"A volume from the life of Herbert Barclay"	"Baltimore"	"William and Joseph Neal"	1833	"M"	0	"White"	"Editor-Critic-Journalist"	"Editor"	"MD"	"RI"	"RI"	1803	1889	31118
"eaf038v1"	"Caruthers, William Alexander"	"The Kentuckian in New-York, or, The adventures of three Southerns, Vol.1"	"New York"	"Harper & Brothers"	1834	"M"	0	"White"	"Medicine"	"Doctor"	"VA"	"GA"	"GA"	1802	1846	66872
"eaf038v2"	"Caruthers, William Alexander"	"The Kentuckian in New-York, or, The adventures of three Southerns, Vol.2"	"New York"	"Harper & Brothers"	1834	"M"	0	"White"	"Medicine"	"Doctor"	"VA"	"GA"	"GA"	1802	1846	56646
"eaf039v1"	"Caruthers, William Alexander"	"The cavaliers of Virginia, or, The recluse of Jamestown, Vol.1"	"New York"	"Harper & Brothers"	1835	"M"	0	"White"	"Medicine"	"Doctor"	"VA"	"GA"	"GA"	1802	1846	54094
"eaf039v2"	"Caruthers, William Alexander"	"The cavaliers of Virginia, or, The recluse of Jamestown, Vol.2"	"New York"	"Harper & Brothers"	1835	"M"	0	"White"	"Medicine"	"Doctor"	"VA"	"GA"	"GA"	1802	1846	59189
"eaf040"	"Caruthers, William Alexander"	"The knights of the horse-shoe"	"Wetumpka, Ala."	"Charles Yancey"	1845	"M"	0	"White"	"Medicine"	"Doctor"	"VA"	"GA"	"GA"	1802	1846	180279
"eaf041"	"Child, Lydia Maria Francis"	"Hobomok"	"Boston"	"Cummings, Hilliard & Co."	1824	"F"	0	"White"	"Politics-Government-Activism"	"Activist"	"MA"	"MA"	"MA"	1802	1880	56056
"eaf042"	"Child, Lydia Maria Francis"	"The rebels, or, Boston before the Revolution"	"Boston"	"Cummings, Hilliard & Co."	1825	"F"	0	"White"	"Politics-Government-Activism"	"Activist"	"MA"	"MA"	"MA"	1802	1880	84083
"eaf045"	"Child, Lydia Maria Francis"	"The coronal"	"Boston"	"Carter and Hendee, [Lancaster Press, Carter, Andrews, & Co., Printers]"	1832	"F"	0	"White"	"Politics-Government-Activism"	"Activist"	"MA"	"MA"	"MA"	1802	1880	48945
"eaf046"	"Child, Lydia Maria Francis"	"Philothea"	"Boston"	"Otis Broaders & Co."	1836	"F"	0	"White"	"Politics-Government-Activism"	"Activist"	"MA"	"MA"	"MA"	1802	1880	70748
"eaf047"	"Child, Lydia Maria Francis"	"Letters from New York"	"New York"	"C.S. Francis"	1843	"F"	0	"White"	"Politics-Government-Activism"	"Activist"	"MA"	"MA"	"MA"	1802	1880	89765
"eaf048"	"Child, Lydia Maria Francis"	"Fact and fiction"	"New York"	"C.S. Francis"	1846	"F"	0	"White"	"Politics-Government-Activism"	"Activist"	"MA"	"MA"	"MA"	1802	1880	74963
"eaf050"	"Clark, Willis Gaylord"	"The literary remains of the late Willis Gaylord Clark"	"New York"	"Burgess, Stringer & Co"	1844	"M"	0	"White"	"Editor-Critic-Journalist"	"Editor"	"NY"	"PA"	"PA"	1808	1841	193016
"eaf051v1"	"Cooper, James Fenimore"	"Precaution, I"	"New York"	"A. T. Goodrich & Co."	1820	"M"	0	"White"	"Military-Seafaring"	"Sailor"	"NJ"	"NY"	"NY"	1789	1851	63785
"eaf051v2"	"Cooper, James Fenimore"	"Precaution, II"	"New York"	"A. T. Goodrich & Co."	1820	"M"	0	"White"	"Military-Seafaring"	"Sailor"	"NJ"	"NY"	"NY"	1789	1851	76520
"eaf052v1"	"Cooper, James Fenimore"	"The spy, I"	"New York"	"Wiley & Halsted"	1821	"M"	0	"White"	"Military-Seafaring"	"Sailor"	"NJ"	"NY"	"NY"	1789	1851	70657
"eaf052v2"	"Cooper, James Fenimore"	"The spy, II"	"New York"	"Wiley & Halsted"	1821	"M"	0	"White"	"Military-Seafaring"	"Sailor"	"NJ"	"NY"	"NY"	1789	1851	80823
"eaf053v1"	"Cooper, James Fenimore"	"The pilot, Vol.1"	"New York"	"Charles Wiley, E. P. Clayton, Printer"	1823	"M"	0	"White"	"Military-Seafaring"	"Sailor"	"NJ"	"NY"	"NY"	1789	1851	75439
"eaf053v2"	"Cooper, James Fenimore"	"The pilot, Vol.2"	"New York"	"Charles Wiley, E. P. Clayton, Printer"	1823	"M"	0	"White"	"Military-Seafaring"	"Sailor"	"NJ"	"NY"	"NY"	1789	1851	79267
"eaf054v1"	"Cooper, James Fenimore"	"The pioneers, or The sources of the Susquehanna, Vol.1"	"New York"	"Charles Wiley"	1823	"M"	0	"White"	"Military-Seafaring"	"Sailor"	"NJ"	"NY"	"NY"	1789	1851	80503
"eaf054v2"	"Cooper, James Fenimore"	"The pioneers, or The sources of the Susquehanna, Vol.2"	"New York"	"Charles Wiley"	1823	"M"	0	"White"	"Military-Seafaring"	"Sailor"	"NJ"	"NY"	"NY"	1789	1851	93501
"eaf055v1"	"Cooper, James Fenimore"	"Lionel Lincoln, or, The leaguer of Boston, Vol.1"	"New York"	"C. Wiley"	1825	"M"	0	"White"	"Military-Seafaring"	"Sailor"	"NJ"	"NY"	"NY"	1789	1851	74805
"eaf055v2"	"Cooper, James Fenimore"	"Lionel Lincoln, or, The leaguer of Boston, Vol.2"	"New York"	"C. Wiley"	1825	"M"	0	"White"	"Military-Seafaring"	"Sailor"	"NJ"	"NY"	"NY"	1789	1851	74386
"eaf056v1"	"Cooper, James Fenimore"	"The last of the Mohicans, Vol.1"	"Philadelphia"	"H.C. Carey & I. Lea"	1826	"M"	0	"White"	"Military-Seafaring"	"Sailor"	"NJ"	"NY"	"NY"	1789	1851	73704
"eaf056v2"	"Cooper, James Fenimore"	"The last of the Mohicans, Vol.2"	"Philadelphia"	"H.C. Carey & I. Lea"	1826	"M"	0	"White"	"Military-Seafaring"	"Sailor"	"NJ"	"NY"	"NY"	1789	1851	74632
"eaf057v1"	"Cooper, James Fenimore"	"The prairie, Vol.1"	"Philadelphia"	"Carey, Lea & Blanchard"	1827	"M"	0	"White"	"Military-Seafaring"	"Sailor"	"NJ"	"NY"	"NY"	1789	1851	76769
"eaf057v2"	"Cooper, James Fenimore"	"The prairie, Vol.2"	"Philadelphia"	"Carey, Lea & Blanchard"	1827	"M"	0	"White"	"Military-Seafaring"	"Sailor"	"NJ"	"NY"	"NY"	1789	1851	90329
"eaf058v1"	"Cooper, James Fenimore"	"The Red Rover, Vol.1"	"Philadelphia"	"Carey, Lea & Blanchard"	1828	"M"	0	"White"	"Military-Seafaring"	"Sailor"	"NJ"	"NY"	"NY"	1789	1851	85203
"eaf058v2"	"Cooper, James Fenimore"	"The Red Rover, Vol.2"	"Philadelphia"	"Carey, Lea & Blanchard"	1828	"M"	0	"White"	"Military-Seafaring"	"Sailor"	"NJ"	"NY"	"NY"	1789	1851	81695
"eaf059v1"	"Cooper, James Fenimore"	"The wept of Wish-ton-Wish, Vol.1"	"Philadelphia"	"Carey, Lea & Blanchard"	1829	"M"	0	"White"	"Military-Seafaring"	"Sailor"	"NJ"	"NY"	"NY"	1789	1851	75297
"eaf059v2"	"Cooper, James Fenimore"	"The wept of Wish-ton-Wish, Vol.2"	"Philadelphia"	"Carey, Lea & Blanchard"	1829	"M"	0	"White"	"Military-Seafaring"	"Sailor"	"NJ"	"NY"	"NY"	1789	1851	71836
"eaf060v1"	"Cooper, James Fenimore"	"The bravo, Vol.1"	"Philadelphia"	"Carey & Lea"	1831	"M"	0	"White"	"Military-Seafaring"	"Sailor"	"NJ"	"NY"	"NY"	1789	1851	71018
"eaf060v2"	"Cooper, James Fenimore"	"The bravo, Vol.2"	"Philadelphia"	"Carey & Lea"	1831	"M"	0	"White"	"Military-Seafaring"	"Sailor"	"NJ"	"NY"	"NY"	1789	1851	69337
"eaf061v1"	"Cooper, James Fenimore"	"The water-witch, or, The skimmer of the seas, Vol. 1"	"Philadelphia"	"Carey & Lea"	1831	"M"	0	"White"	"Military-Seafaring"	"Sailor"	"NJ"	"NY"	"NY"	1789	1851	78614
"eaf061v2"	"Cooper, James Fenimore"	"The water-witch, or, The skimmer of the seas, Vol. 2"	"Philadelphia"	"Carey & Lea"	1831	"M"	0	"White"	"Military-Seafaring"	"Sailor"	"NJ"	"NY"	"NY"	1789	1851	78721
"eaf062v1"	"Cooper, James Fenimore"	"The Heidenmauer, or, The Benedictines, Vol.1"	"Philadelphia"	"Carey & Lea"	1832	"M"	0	"White"	"Military-Seafaring"	"Sailor"	"NJ"	"NY"	"NY"	1789	1851	62681
"eaf062v2"	"Cooper, James Fenimore"	"The Heidenmauer, or, The Benedictines, Vol.2"	"Philadelphia"	"Carey & Lea"	1832	"M"	0	"White"	"Military-Seafaring"	"Sailor"	"NJ"	"NY"	"NY"	1789	1851	74907
"eaf063v1"	"Cooper, James Fenimore"	"The headsman, or, The Abbaye des Vignerons, Vol.1"	"Philadelphia"	"Carey, Lea & Blanchard"	1833	"M"	0	"White"	"Military-Seafaring"	"Sailor"	"NJ"	"NY"	"NY"	1789	1851	78408
"eaf063v2"	"Cooper, James Fenimore"	"The headsman, or, The Abbaye des Vignerons, Vol.2"	"Philadelphia"	"Carey, Lea & Blanchard"	1833	"M"	0	"White"	"Military-Seafaring"	"Sailor"	"NJ"	"NY"	"NY"	1789	1851	79406
"eaf064v1"	"Cooper, James Fenimore"	"The monikins, Vol.1"	"Philadelphia"	"Carey, Lea & Blanchard"	1835	"M"	0	"White"	"Military-Seafaring"	"Sailor"	"NJ"	"NY"	"NY"	1789	1851	72407
"eaf064v2"	"Cooper, James Fenimore"	"The monikins, Vol.2"	"Philadelphia"	"Carey, Lea & Blanchard"	1835	"M"	0	"White"	"Military-Seafaring"	"Sailor"	"NJ"	"NY"	"NY"	1789	1851	78138
"eaf065v1"	"Cooper, James Fenimore"	"Home as found, Vol.1"	"Philadelphia"	"Lea & Blanchard"	1838	"M"	0	"White"	"Military-Seafaring"	"Sailor"	"NJ"	"NY"	"NY"	1789	1851	74741
"eaf065v2"	"Cooper, James Fenimore"	"Home as found, Vol.2"	"Philadelphia"	"Lea & Blanchard"	1838	"M"	0	"White"	"Military-Seafaring"	"Sailor"	"NJ"	"NY"	"NY"	1789	1851	81697
"eaf066v1"	"Cooper, James Fenimore"	"Homeward bound, or, The chase, Vol.1"	"Philadelphia"	"Carey, Lea & Blanchard"	1838	"M"	0	"White"	"Military-Seafaring"	"Sailor"	"NJ"	"NY"	"NY"	1789	1851	83499
"eaf066v2"	"Cooper, James Fenimore"	"Homeward bound, or, The chase, Vol.2"	"Philadelphia"	"Carey, Lea & Blanchard"	1838	"M"	0	"White"	"Military-Seafaring"	"Sailor"	"NJ"	"NY"	"NY"	1789	1851	93485
"eaf067v1"	"Cooper, James Fenimore"	"Mercedes of Castile, or, The voyage to Cathay, Vol.1"	"Philadelphia"	"Lea & Blanchard"	1840	"M"	0	"White"	"Military-Seafaring"	"Sailor"	"NJ"	"NY"	"NY"	1789	1851	94554
"eaf067v2"	"Cooper, James Fenimore"	"Mercedes of Castile, or, The voyage to Cathay, Vol.2"	"Philadelphia"	"Lea & Blanchard"	1840	"M"	0	"White"	"Military-Seafaring"	"Sailor"	"NJ"	"NY"	"NY"	1789	1851	88001
"eaf068v1"	"Cooper, James Fenimore"	"The pathfinder, or, The inland sea, Vol.1"	"Philadelphia"	"Lea & Blanchard"	1840	"M"	0	"White"	"Military-Seafaring"	"Sailor"	"NJ"	"NY"	"NY"	1789	1851	90491
"eaf068v2"	"Cooper, James Fenimore"	"The pathfinder, or, The inland sea, Vol.2"	"Philadelphia"	"Lea & Blanchard"	1840	"M"	0	"White"	"Military-Seafaring"	"Sailor"	"NJ"	"NY"	"NY"	1789	1851	91762
"eaf069v1"	"Cooper, James Fenimore"	"The deerslayer: or, The first war-path, Vol.1"	"Philadelphia"	"Lea & Blanchard"	1841	"M"	0	"White"	"Military-Seafaring"	"Sailor"	"NJ"	"NY"	"NY"	1789	1851	100154
"eaf069v2"	"Cooper, James Fenimore"	"The deerslayer: or, The first war-path, Vol.2"	"Philadelphia"	"Lea & Blanchard"	1841	"M"	0	"White"	"Military-Seafaring"	"Sailor"	"NJ"	"NY"	"NY"	1789	1851	111884
"eaf070v1"	"Cooper, James Fenimore"	"The two admirals, Vol.1"	"Philadelphia"	"Lea & Blanchard"	1842	"M"	0	"White"	"Military-Seafaring"	"Sailor"	"NJ"	"NY"	"NY"	1789	1851	86067
"eaf070v2"	"Cooper, James Fenimore"	"The two admirals, Vol.2"	"Philadelphia"	"Lea & Blanchard"	1842	"M"	0	"White"	"Military-Seafaring"	"Sailor"	"NJ"	"NY"	"NY"	1789	1851	94957
"eaf071v1"	"Cooper, James Fenimore"	"The wing-and-wing, or, Le Feu-follet, Vol.1"	"Philadelphia"	"Lea & Blanchard"	1842	"M"	0	"White"	"Military-Seafaring"	"Sailor"	"NJ"	"NY"	"NY"	1789	1851	95231
"eaf071v2"	"Cooper, James Fenimore"	"The wing-and-wing, or, Le Feu-follet, Vol.2"	"Philadelphia"	"Lea & Blanchard"	1842	"M"	0	"White"	"Military-Seafaring"	"Sailor"	"NJ"	"NY"	"NY"	1789	1851	79253
"eaf072"	"Cooper, James Fenimore"	"Ned Myers, or, A life before the mast"	"Philadelphia"	"Lea & Blanchard"	1843	"M"	0	"White"	"Military-Seafaring"	"Sailor"	"NJ"	"NY"	"NY"	1789	1851	95841
"eaf073v1"	"Cooper, James Fenimore"	"Wyandott&eacute;, or, The hutted knoll, Vol.1"	"Philadelphia"	"Lea & Blanchard"	1843	"M"	0	"White"	"Military-Seafaring"	"Sailor"	"NJ"	"NY"	"NY"	1789	1851	87723
"eaf073v2"	"Cooper, James Fenimore"	"Wyandott&eacute;, or, The hutted knoll, Vol.2"	"Philadelphia"	"Lea & Blanchard"	1843	"M"	0	"White"	"Military-Seafaring"	"Sailor"	"NJ"	"NY"	"NY"	1789	1851	76097
"eaf075v1"	"Cooper, James Fenimore"	"Satanstoe, or, The Littlepage manuscripts, Vol.1"	"New York"	"Burgess, Stringer & Co"	1845	"M"	0	"White"	"Military-Seafaring"	"Sailor"	"NJ"	"NY"	"NY"	1789	1851	90425
"eaf075v2"	"Cooper, James Fenimore"	"Satanstoe, or, The Littlepage manuscripts, Vol.2"	"New York"	"Burgess, Stringer & Co"	1845	"M"	0	"White"	"Military-Seafaring"	"Sailor"	"NJ"	"NY"	"NY"	1789	1851	89662
"eaf076v1"	"Cooper, James Fenimore"	"The chainbearer, or, The Littlepage manuscripts, Vol.1"	"New York"	"Burgess, Stringer & Co"	1845	"M"	0	"White"	"Military-Seafaring"	"Sailor"	"NJ"	"NY"	"NY"	1789	1851	81653
"eaf076v2"	"Cooper, James Fenimore"	"The chainbearer, or, The Littlepage manuscripts, Vol.2"	"New York"	"Burgess, Stringer & Co"	1845	"M"	0	"White"	"Military-Seafaring"	"Sailor"	"NJ"	"NY"	"NY"	1789	1851	91755
"eaf077v1"	"Cooper, James Fenimore"	"The redskins, or, Indian and Injin, Vol.1"	"New York"	"Burgess, Stringer & Co"	1846	"M"	0	"White"	"Military-Seafaring"	"Sailor"	"NJ"	"NY"	"NY"	1789	1851	95293
"eaf077v2"	"Cooper, James Fenimore"	"The redskins, or, Indian and Injin, Vol.2"	"New York"	"Burgess, Stringer & Co"	1846	"M"	0	"White"	"Military-Seafaring"	"Sailor"	"NJ"	"NY"	"NY"	1789	1851	90999
"eaf078v1"	"Cooper, James Fenimore"	"The crater, or, Vulcan's Peak, Vol.1"	"New York"	"Burgess, Stringer & Co"	1847	"M"	0	"White"	"Military-Seafaring"	"Sailor"	"NJ"	"NY"	"NY"	1789	1851	91916
"eaf078v2"	"Cooper, James Fenimore"	"The crater, or, Vulcan's Peak, Vol.2"	"New York"	"Burgess, Stringer & Co"	1847	"M"	0	"White"	"Military-Seafaring"	"Sailor"	"NJ"	"NY"	"NY"	1789	1851	88931
"eaf079v1"	"Cooper, James Fenimore"	"Jack Tier, or, The Florida reef, Vol.1"	"New York"	"Burgess, Stringer & Co"	1848	"M"	0	"White"	"Military-Seafaring"	"Sailor"	"NJ"	"NY"	"NY"	1789	1851	94449
